INVOICE_NO,PO_NUMBER,ITEM,QTY,UOM,AMOUNT,INVOICE_DT
INV-001,PO-001,SKU-001,120,EACH,$300.00,01/13/2024
INV-002,PO-002,SKU-002,120,EACH,120.00,2024-02-04
INV-003,PO-003,SKU-003,720,EACH,$360.00,03/06/2024
INV-004,PO-004,SKU-004,240,EACH,180.00,2024-04-08
INV-005,PO-005,SKU-005,300,EACH,$180.00,05/04/2024
INV-006,PO-006,SKU-006,480,EACH,384.00,2024-06-04
INV-007,PO-007,SKU-001,144,EACH,$216.00,06/04/2024
INV-008,PO-008,SKU-008,150,EACH,300.00,2024-08-02
INV-SYN-0001,PO-SYN-0001,SKU-001,120,EACH,$300.00,01/13/2024
INV-SYN-0002,PO-SYN-0002,SKU-002,120,EACH,120.00,2024-02-04
INV-SYN-0003,PO-SYN-0003,SKU-003,720,EACH,$360.00,03/06/2024
INV-SYN-0004,PO-SYN-0004,SKU-004,240,EACH,180.00,2024-04-08
INV-SYN-0005,PO-SYN-0005,SKU-005,300,EACH,$180.00,05/04/2024
INV-SYN-0006,PO-SYN-0006,SKU-006,480,EACH,384.00,2024-06-04
INV-SYN-0007,PO-SYN-0007,SKU-001,144,EACH,$216.00,06/04/2024
INV-SYN-0008,PO-SYN-0008,SKU-008,150,EACH,300.00,2024-08-02
INV-SYN-0009,PO-SYN-0009,SKU-001,120,EACH,$300.00,01/13/2024
INV-SYN-0010,PO-SYN-0010,SKU-002,120,EACH,120.00,2024-02-04
INV-SYN-0011,PO-SYN-0011,SKU-003,720,EACH,$360.00,03/06/2024
INV-SYN-0012,PO-SYN-0012,SKU-004,240,EACH,180.00,2024-04-08
INV-SYN-0013,PO-SYN-0013,SKU-005,300,EACH,$180.00,05/04/2024
INV-SYN-0014,PO-SYN-0014,SKU-006,480,EACH,384.00,2024-06-04
INV-SYN-0015,PO-SYN-0015,SKU-001,144,EACH,$216.00,06/04/2024
INV-SYN-0016,PO-SYN-0016,SKU-008,150,EACH,300.00,2024-08-02
INV-SYN-0017,PO-SYN-0017,SKU-001,120,EACH,$300.00,01/13/2024
INV-SYN-0018,PO-SYN-0018,SKU-002,120,EACH,120.00,2024-02-04
INV-SYN-0019,PO-SYN-0019,SKU-003,720,EACH,$360.00,03/06/2024
INV-SYN-0020,PO-SYN-0020,SKU-004,240,EACH,180.00,2024-04-08
INV-SYN-0021,PO-SYN-0021,SKU-005,300,EACH,$180.00,05/04/2024
INV-SYN-0022,PO-SYN-0022,SKU-006,480,EACH,384.00,2024-06-04
INV-SYN-0023,PO-SYN-0023,SKU-001,144,EACH,$216.00,06/04/2024
INV-SYN-0024,PO-SYN-0024,SKU-008,150,EACH,300.00,2024-08-02
INV-SYN-0025,PO-SYN-0025,SKU-001,120,EACH,$300.00,01/13/2024
INV-SYN-0026,PO-SYN-0026,SKU-002,120,EACH,120.00,2024-02-04
INV-SYN-0027,PO-SYN-0027,SKU-003,720,EACH,$360.00,03/06/2024
INV-SYN-0028,PO-SYN-0028,SKU-004,240,EACH,180.00,2024-04-08
INV-SYN-0029,PO-SYN-0029,SKU-005,300,EACH,$180.00,05/04/2024
INV-SYN-0030,PO-SYN-0030,SKU-006,480,EACH,384.00,2024-06-04
INV-SYN-0031,PO-SYN-0031,SKU-001,144,EACH,$216.00,06/04/2024
INV-SYN-0032,PO-SYN-0032,SKU-008,150,EACH,300.00,2024-08-02
INV-SYN-0033,PO-SYN-0033,SKU-001,120,EACH,$300.00,01/13/2024
INV-SYN-0034,PO-SYN-0034,SKU-002,120,EACH,120.00,2024-02-04
INV-SYN-0035,PO-SYN-0035,SKU-003,720,EACH,$360.00,03/06/2024
INV-SYN-0036,PO-SYN-0036,SKU-004,240,EACH,180.00,2024-04-08
INV-SYN-0037,PO-SYN-0037,SKU-005,300,EACH,$180.00,05/04/2024
INV-SYN-0038,PO-SYN-0038,SKU-006,480,EACH,384.00,2024-06-04
INV-SYN-0039,PO-SYN-0039,SKU-001,144,EACH,$216.00,06/04/2024
INV-SYN-0040,PO-SYN-0040,SKU-008,150,EACH,300.00,2024-08-02
INV-SYN-0041,PO-SYN-0041,SKU-001,120,EACH,$300.00,01/13/2024
INV-SYN-0042,PO-SYN-0042,SKU-002,120,EACH,120.00,2024-02-04
