PO_NUMBER,RETAILER,ITEM,QTY,UOM,UNIT_PRICE,ORDER_DT
PO-001,walmart,SKU-001,120,EACH,$2.50,01/10/2024
PO-002,target,SKU-002,5,CASE,1.00,2024-02-01
PO-003,kroger,SKU-003,720,EACH,$0.50,03/01/2024
PO-004,costco,SKU-004,240,EACH,0.75,2024-04-01
PO-005,publix,SKU-005,300,EACH,$0.60,05/01/2024
PO-006,safeway,SKU-006,480,EACH,0.80,2024-06-01
PO-007,albertsons,SKU-001,144,EACH,$1.50,06/01/2024
PO-008,walmart,SKU-008,150,EACH,2.00,2024-08-01
PO-SYN-0001,walmart,SKU-001,120,EACH,$2.50,01/10/2024
PO-SYN-0002,target,SKU-002,5,CASE,1.00,2024-02-01
PO-SYN-0003,kroger,SKU-003,720,EACH,$0.50,03/01/2024
PO-SYN-0004,costco,SKU-004,240,EACH,0.75,2024-04-01
PO-SYN-0005,publix,SKU-005,300,EACH,$0.60,05/01/2024
PO-SYN-0006,safeway,SKU-006,480,EACH,0.80,2024-06-01
PO-SYN-0007,albertsons,SKU-001,144,EACH,$1.50,06/01/2024
PO-SYN-0008,walmart,SKU-008,150,EACH,2.00,2024-08-01
PO-SYN-0009,walmart,SKU-001,120,EACH,$2.50,01/10/2024
PO-SYN-0010,target,SKU-002,5,CASE,1.00,2024-02-01
PO-SYN-0011,kroger,SKU-003,720,EACH,$0.50,03/01/2024
PO-SYN-0012,costco,SKU-004,240,EACH,0.75,2024-04-01
PO-SYN-0013,publix,SKU-005,300,EACH,$0.60,05/01/2024
PO-SYN-0014,safeway,SKU-006,480,EACH,0.80,2024-06-01
PO-SYN-0015,albertsons,SKU-001,144,EACH,$1.50,06/01/2024
PO-SYN-0016,walmart,SKU-008,150,EACH,2.00,2024-08-01
PO-SYN-0017,walmart,SKU-001,120,EACH,$2.50,01/10/2024
PO-SYN-0018,target,SKU-002,5,CASE,1.00,2024-02-01
PO-SYN-0019,kroger,SKU-003,720,EACH,$0.50,03/01/2024
PO-SYN-0020,costco,SKU-004,240,EACH,0.75,2024-04-01
PO-SYN-0021,publix,SKU-005,300,EACH,$0.60,05/01/2024
PO-SYN-0022,safeway,SKU-006,480,EACH,0.80,2024-06-01
PO-SYN-0023,albertsons,SKU-001,144,EACH,$1.50,06/01/2024
PO-SYN-0024,walmart,SKU-008,150,EACH,2.00,2024-08-01
PO-SYN-0025,walmart,SKU-001,120,EACH,$2.50,01/10/2024
PO-SYN-0026,target,SKU-002,5,CASE,1.00,2024-02-01
PO-SYN-0027,kroger,SKU-003,720,EACH,$0.50,03/01/2024
PO-SYN-0028,costco,SKU-004,240,EACH,0.75,2024-04-01
PO-SYN-0029,publix,SKU-005,300,EACH,$0.60,05/01/2024
PO-SYN-0030,safeway,SKU-006,480,EACH,0.80,2024-06-01
PO-SYN-0031,albertsons,SKU-001,144,EACH,$1.50,06/01/2024
PO-SYN-0032,walmart,SKU-008,150,EACH,2.00,2024-08-01
PO-SYN-0033,walmart,SKU-001,120,EACH,$2.50,01/10/2024
PO-SYN-0034,target,SKU-002,5,CASE,1.00,2024-02-01
PO-SYN-0035,kroger,SKU-003,720,EACH,$0.50,03/01/2024
PO-SYN-0036,costco,SKU-004,240,EACH,0.75,2024-04-01
PO-SYN-0037,publix,SKU-005,300,EACH,$0.60,05/01/2024
PO-SYN-0038,safeway,SKU-006,480,EACH,0.80,2024-06-01
PO-SYN-0039,albertsons,SKU-001,144,EACH,$1.50,06/01/2024
PO-SYN-0040,walmart,SKU-008,150,EACH,2.00,2024-08-01
PO-SYN-0041,walmart,SKU-001,120,EACH,$2.50,01/10/2024
PO-SYN-0042,target,SKU-002,5,CASE,1.00,2024-02-01
